objectid,year,state,agency,fire_name,alarm_date,containment_date,cause,collection_method,management_objective,gis_calculated_acres,decades,shape__area,shape__length
51,2025,CA,CDF,JUNIPER,2025-06-30,2025-07-02,2,3,1.0,560.1605,2020-2025,4541953.512,15996.42509
52,2025,CA,USF,PEAK,2025-08-25,2025-09-28,1,7,1.0,505.3025,2020-2025,3583515.652,17771.48691
53,2025,CA,CDF,LAKE,2025-06-28,2025-07-06,14,2,1.0,488.7244,2020-2025,2904920.145,18087.66092
54,2025,CA,CCO,HAWK,2025-08-14,2025-08-17,14,2,1.0,480.2473,2020-2025,2871297.938,12227.07826
55,2025,CA,CDF,FIRESTONE,2025-06-12,2025-06-19,10,3,1.0,472.0678,2020-2025,2931607.754,10504.33926
56,2025,CA,CDF,18-1,2025-09-02,2025-09-02,1,7,1.0,463.0268,2020-2025,3077458.809,10146.7185
57,2025,CA,CDF,NELLA,2025-05-17,2025-05-17,10,4,1.0,458.0139,2020-2025,3340077.516,9569.04823
58,2025,CA,USF,HORSE,2025-07-02,2025-07-09,1,8,1.0,430.1073,2020-2025,3047393.688,8383.156766
59,2025,CA,CDF,PANOCHE,2025-08-07,2025-08-11,9,5,1.0,422.5481,2020-2025,2660489.309,12819.54126
60,2025,CA,CDF,RUN,2025-05-26,2025-05-26,7,2,1.0,420.0106,2020-2025,2682039.512,11907.05578
61,2025,CA,CDF,BRIDGE,2025-07-07,2025-07-09,10,2,1.0,419.0038,2020-2025,2907015.402,12993.40198
62,2025,CA,USF,MAX,2025-07-13,2025-07-22,9,3,1.0,410.0221,2020-2025,2604345.102,11780.25626
63,2025,CA,USF,LAKE,2025-08-27,2025-08-28,1,1,1.0,398.1307,2020-2025,2907248.977,8413.118022
64,2025,CA,CDF,LAKE,2025-08-03,2025-08-04,14,7,1.0,397.7174,2020-2025,2667059.609,8552.116972
65,2025,CA,CCO,FORT,2025-06-05,2025-06-06,14,4,1.0,389.011,2020-2025,2277823.934,10069.58022
66,2025,CA,CDF,CAMINO,2025-06-20,2025-06-21,10,1,1.0,385.9513,2020-2025,2503097.988,6873.558063
67,2025,CA,LRA,TWISSELMAN,2025-06-24,2025-06-25,14,1,1.0,383.8156,2020-2025,2361850.09,6768.010998
68,2025,CA,USF,GIANELLI,2025-11-02,2025-11-14,1,7,1.0,373.5635,2020-2025,2450775.168,22105.84583
69,2025,CA,CDF,SOMERSVILLE,2025-06-18,2025-06-19,4,1,1.0,358.065,2020-2025,2335746.73,9010.283297
